1;K.E. Færgemanns Vej;11;9000;0;0
2;Struervej;98;9220;0;0
3;Gadekærsvej;44;9280;0;0
4;Kærholt;3;9210;0;0
5;Hasserisgade;25;9000;0;0
6;Anneberghøj;3;9000;0;0
7;Solbakken;16;9240;0;0
8;Sogneparken;15;9370;0;0
9;Vestermarksvej;5B;9000;0;0
10;Skalborg Banevej;9;9200;0;0
11;Jacob Severins Vej;88;9370;0;0
12;Højvangsvej;16;9400;0;0
13;Lektorvej;36;9000;0;0
14;Lyngageren;8;9370;0;0
15;Loftbrovej;70;9310;0;0
16;Thorsbrovej;6;9280;0;0
17;Rønnevej;5;9280;0;0
18;Nyrupvej;53;9240;0;0
19;Ørnevej;6;9370;0;0
20;Skippersmindevej;19;9310;0;0
21;Bygaden;70A;9200;0;0
22;Grundtvig Sørensens Vej;10;9382;0;0
23;Strandskadevej;14;9280;0;0
24;Hyttefadet;2;9240;0;0
25;Klithagen;2;9240;0;0
26;Byageren;4;9400;0;0
27;Eskedalsvej;2;9362;0;0
28;Lucernehaven;78;9370;0;0
29;Tranumparken;28;9220;0;0
30;Rylevej;2;9370;0;0
31;Kongevejen;23;9370;0;0
32;Blåmejsevej;7;9370;0;0
33;Borgergade;65;9362;0;0
34;Kimbrervej;14;9370;0;0
35;Løgstørvej;5;9240;0;0
36;Uglevænget;32B;9310;0;0
37;Skovsneppevej;8;9370;0;0
38;Uglevænget;32C;9310;0;0
39;Skolevænget;10;9362;0;0
40;Løgstørvej;5;9240;0;0
41;Uglevænget;32A;9310;0;0
42;Nøvling Kirkevej;22;9260;0;0
43;Lille Strandgård;1;9370;0;0
44;Uglevænget;32D;9310;0;0
45;Præstevænge;3;9400;0;0
46;Præstevænget;18A;9370;0;0
47;Mågevej;29;9280;0;0
48;Junovej;16;9370;0;0
49;Svenstrup Skolevej;12;9230;0;0
50;Østerbro;93;9000;0;0
51;Skalhøje;57;9240;0;0
52;Nørholmsvej;510;9240;0;0
53;Krøjbergsvej;12;9370;0;0
54;Wibroesvej;10A;9000;0;0
55;Ved Lågen;3;9240;0;0
56;Elsdyrvej;6;9370;0;0
57;Hulvejen;17;9220;0;0
58;Hyttefadet;85;9240;0;0
59;Jupitervej;2;9370;0;0
60;Halsvej;192;9310;0;0
61;Poulstrupvej;119;9230;0;0
62;Kronhjortevej;14;9370;0;0
63;Hasselvej;1;9280;0;0
64;Lyngtoftegård;23;9370;0;0
65;Sønder Havsig;64;9370;0;0
66;Skivervej;104;9310;0;0
67;Ane Dams Gade;12;9400;0;0
68;Hadsund Landevej;457;9260;0;0
69;Rødkløvervej;21;9370;0;0
70;Haslundparken;114;9310;0;0
71;Tinbergens Alle;16;9260;0;0
72;Luneborgvej;169;9382;0;0
73;Flamstedvej;55;9260;0;0
74;Syrenvej;12;9370;0;0
75;Nørholmsvej;231;9000;0;0
76;Østerågade;18B;9000;0;0
77;Bisnapvej;10;9370;0;0
78;Albert Dams Vej;3;9382;0;0
79;Østervangen;5;9240;0;0
80;Hyttefadet;32;9240;0;0
81;Østerled;50;9370;0;0
82;Lucernehaven;34;9370;0;0
83;Merkurvej;21;9370;0;0
84;Vestvej;62;9370;0;0
85;Hedevej;3;9370;0;0
86;Gyvelvej;36;9400;0;0
87;Stokbrohedevej;33;9310;0;0
88;Evasvej;19;9000;0;0
89;Strandskadevej;3;9280;0;0
90;Porsevej;4;9280;0;0
91;Kirstine Jensens Vej;5;9240;0;0
92;Hobrovej;375;9200;0;0
93;Lektorvej;18;9000;0;0
94;Kærlundsvej;13;9000;0;0
95;Keldbækvej;1;9240;0;0
96;Skovhusvej;17;9310;0;0
97;Nørholmsvej;194;9000;0;0
98;Rughaven;1;9370;0;0
99;Vestermarksvej;42;9280;0;0
100;Kabelvej;5;9310;0;0
101;Kongelunden Vest;15;9370;0;0
102;H. A. Brorsons Vej;15;9000;0;0
103;Engparken;8;9280;0;0
104;Nørholmsvej;93;9000;0;0
105;Kystvej;73;9280;0;0
106;Kongeørnen;74;9280;0;0
107;Lindeparken;12;9370;0;0
108;Præstevangen;10;9240;0;0
109;Sønderskovvej;169;9362;0;0
110;Hedelunden;9;9370;0;0
111;Østerstrand;16;9370;0;0
112;Dyreengen;12;9370;0;0
113;Elsdyrvej;4;9370;0;0
114;Aalborgvej;76;9280;0;0
115;Dyrevangen;1;9370;0;0
116;Halkærvej;35;9240;0;0
117;Hjørring Landevej;31;9400;0;0
118;Lupinvej;1;9280;0;0
119;Grønnegade;31;9000;0;0
120;Huulmøllevej;4;9240;0;0
121;Sønderskovvej;161;9362;0;0
122;Søhesten;71;9370;0;0
123;Nordtoft;6;9370;0;0
124;Holtetvej;60;9362;0;0
125;Julius Posselts Vej;6;9400;0;0
126;Limfjordsvej;24;9370;0;0
127;Morbærhaven;40;9000;0;0
128;Møllesøvej;9;9280;0;0
129;Solvangen;31;9210;0;0
130;Ane Dams Gade;11;9400;0;0
131;Morbærhaven;20;9000;0;0
132;Morbærhaven;31;9000;0;0
133;Mellemgade;42;9240;0;0
134;Gliben;36;9240;0;0
135;Mannadalen;47;9260;0;0
136;Dyreholmen;22;9370;0;0
137;Gistrup Hedevej;9;9260;0;0
138;Houvej;361;9362;0;0
139;Sønder Havsig;18;9370;0;0
140;Spættevej;3;9370;0;0
141;Flouvej;3;9280;0;0
142;Frydenstrand;3;9280;0;0
143;Egensevej;194;9280;0;0
144;Dyrehavevej;18;9370;0;0
145;Gunderupvej;14;9260;0;0
146;Høje Nibe;20;9240;0;0
147;Tommelisevej;4;9230;0;0
148;Stationsvej;44;9362;0;0
149;Torndalstrand;23;9370;0;0
150;Volsted Bygade;57;9530;0;0
151;Gl Kongevej;33;9362;0;0
152;Skomagerbakken;82;9260;0;0
153;Bjørnbakvej;8;9260;0;0
154;Pollendalen;66;9260;0;0
155;Ferslev Byvej;15B;9230;0;0
156;Kolloparken;63;9200;0;0
157;Tolnevej;1;9220;0;0
158;Snebærvej;40;9280;0;0
159;Galopbakken;33;9230;0;0
160;Venusvej;3;9370;0;0
161;Brorholtvej;56;9430;0;0
162;Lappedykkervej;18;9280;0;0
163;Vestergaardsvej;56;9293;0;0
164;Rafns Alle;6;9000;0;0
165;Nervøsvej;10A;9430;0;0
166;Glentevej;4;9280;0;0
167;Sebbersundvej;4;9240;0;0
168;Vikingbanke;9;9280;0;0
169;Horshøjvej;14;9310;0;0
170;Filstedvej;4;9000;0;0
171;Torndalstrand;4A;9370;0;0
172;Griegsvej;215;9200;0;0
173;Egholm;53;9000;0;0
174;Vodskov Kirkevej;32;9310;0;0
175;Baggesdamvej;3;9293;0;0
176;Havblink;8;9370;0;0
177;Sønder Havsig;41;9370;0;0
178;Hyldebærvej;3;9000;0;0
179;Christiansminde;8;9370;0;0
180;Godenshøj;14;9240;0;0
181;Kærsholmvej;8;9280;0;0
182;Sigurd Ersteds Vej;2;9310;0;0
183;Gartnervænget;23;9293;0;0
184;Rolighedsvej;1;9240;0;0
185;Kongelunden;38;9370;0;0
186;Akærvej;13;9370;0;0
187;Tostrupvej;181;9240;0;0
188;Steffensvej;10;9280;0;0
189;Sanglærkevej;3;9370;0;0
190;Kongerslevvej;14;9293;0;0
191;Snebærvej;33;9280;0;0
192;Hyttefadet;35;9240;0;0
193;Nibevej;443;9240;0;0
194;Krogensvej;11;9310;0;0
195;Boulevarden;5;9000;0;0
196;Limfjordsvej;2A;9370;0;0
197;Osbornsvej;8;9370;0;0
198;Sønderskovvej;12;9370;0;0
199;Bilgårdsvej;54;9382;0;0
200;Priorgade;7F;9240;0;0
201;Hasserisvej;270;9000;0;0
202;Houvej;100;9370;0;0
203;Svenstrup Skolevej;18;9230;0;0
204;Svenstrup Skolevej;18;9230;0;0
205;Tvedens Alle;31;9381;0;0
206;Svenstrup Skolevej;18;9230;0;0
207;Forsøgsvej;3;9382;0;0
208;Vester Vænge Alle;1;9000;0;0
209;Nordmandshage;15;9370;0;0
210;Skolegade;4;9000;0;0
211;Mjels Bygade;7;9230;0;0
212;Møgelbjergvej;18;9310;0;0
213;Merkurvej;91;9370;0;0
214;Osbornsvej;83;9370;0;0
215;Vestergade;37;9400;0;0
216;Kronosvej;13;9210;0;0
217;Holstebrovej;5A;9220;0;0
218;Østerpark;18;9370;0;0
219;Anemonevej;6;9280;0;0
220;Gammel Hedevej;25;9310;0;0
221;Edderfuglevej;2;9280;0;0
222;Østerbakken;5;9310;0;0
223;Rosenvænget;3;9280;0;0
224;Revlevej;16;9280;0;0
225;Lannerparken;48;9200;0;0
226;Klokkelyngvej;5;9370;0;0
227;Engdraget;5;9370;0;0
228;Lyngtoften;52;9370;0;0
229;Ternevej;2;9000;0;0
230;Møllesøvej;30;9280;0;0
231;Birkagervænget;21;9230;0;0
232;Skalhøje;34;9240;0;0
233;Strandvænget;7;9370;0;0
234;Skalhøje;28;9240;0;0
235;Skalhøje;32;9240;0;0
236;Møgelbjergvej;74;9310;0;0
237;Sydvestvej;18;9370;0;0
238;Godthåbsvej;35A;9230;0;0
239;Degnelodden;14;9280;0;0
240;Egelundsvej;13;9380;0;0
241;Steffensvej;14;9280;0;0
242;Alleen;3;9362;0;0
243;Søndre Skovvej;52A;9000;0;0
244;Jacob Severins Vej;18;9370;0;0
245;Grindstedvej;9;9310;0;0
246;Skalhøje;36;9240;0;0
247;Vestergade;39;9370;0;0
248;Skurvemosen;6;9370;0;0
249;Vibevej;5;9280;0;0
250;Apotekervænget;16;9370;0;0
251;Birkealle;10C;9240;0;0
252;Houvej;206;9370;0;0
253;Anemonevej;8;9280;0;0
254;Morbærhaven;22;9000;0;0
255;Morbærhaven;18;9000;0;0
256;Vestpieren;16;9370;0;0
257;Lunden;32;9230;0;0
258;Kæragerholmvej;9;9382;0;0
259;Ejdrupvej;4;9240;0;0
260;Peder Barkes Gade;46;9000;0;0
261;Gugvej;203B;9210;0;0
262;Horsensvej;11;9310;0;0
263;Østre Alle;47;9000;0;0
264;Egholm;34;9000;0;0
265;Hasserishave;38;9000;0;0
266;Klarup Skolevej;3;9270;0;0
267;Kirkevej;2A;9310;0;0
268;Nørrestrand;14;9370;0;0
269;Lindholmsvej;13;9400;0;0
270;Nytorv;13;9000;0;0
271;Vodskov Byvej;17;9310;0;0
272;Kronosvej;49;9210;0;0
273;Lundbyes Passage;6;9000;0;0
274;Toften;23;9000;0;0
275;Doktorparken;19;9230;0;0
276;Degnelodden;19;9280;0;0
277;Søndergade;45D;9240;0;0
278;Vesterbro;84;9000;0;0
279;Trælbjergvej;3;9260;0;0
280;Slåenvej;7;9370;0;0
281;Bævervej;4;9370;0;0
282;Midtergade;27;9370;0;0
283;Roden;30;9260;0;0
284;Højmarksvej;5;9000;0;0
285;Hybenvej;31;9280;0;0
286;Vestergaardsvej;43B;9293;0;0
287;Prins Paris Alle;30;9210;0;0
288;Drosselvej;5;9280;0;0
289;Møllestenen;56;9370;0;0
290;Sindholtvej;10;9381;0;0
291;Nørkærsvej;15;9280;0;0
292;Tinbergens Alle;73;9260;0;0
293;Tinbergens Alle;77;9260;0;0
294;Møllesøvej;11;9280;0;0
295;Vestergade;5;9240;0;0
296;Sundby Brygge;3;9400;0;0
297;Kirkedalen;2;9230;0;0
298;Islandsgade;2;9000;0;0
299;Godthåbsvej;27;9230;0;0
300;Heravej;151;9210;0;0
301;Reberbansgade;50;9000;0;0
302;Vestervej;22;9240;0;0
303;Toften;54;9280;0;0
304;Tøtmosen;79;9280;0;0
305;Rødkløvervej;41;9370;0;0
306;Brahmsvej;60;9200;0;0
307;Rødkløvervej;29;9370;0;0
308;Tranevej;2;9280;0;0
309;Strandvejen;74;9370;0;0
310;Jacob Severins Vej;84;9370;0;0
311;Irisvej;7;9310;0;0
312;Osbornsvej;23;9370;0;0
313;Øster Strandvej;17;9400;0;0
314;Oksevej;15;9370;0;0
315;;;9000;0;0
316;Vester Fælledvej;9;9000;0;0
317;Blegdalsparken;62;9000;0;0
318;Vodskovvej;175;9310;0;0
319;Mølletoften;19;9260;0;0
320;Lonevej;1;9370;0;0
321;Smalskiftevej;30;9382;0;0
322;Rolighedsvej;10;9400;0;0
323;Lucernehaven;48;9370;0;0
324;Dyreholmen;1;9370;0;0
325;Vestvej;58;9310;0;0
326;Følfodvej;25;9310;0;0
327;Priorgade;7A;9240;0;0
328;Sølgårdvej;70;9381;0;0
329;Magnoliehaven;7;9293;0;0
330;Slyngelen;11;9370;0;0
331;Brinken;11;9220;0;0
332;Kalmanparken;70;9200;0;0
333;Bollerupvej;20;9240;0;0
334;Gammel Kærvej;20;9000;0;0
335;Vårvej;45;9240;0;0
336;Halkærvej;2;9240;0;0
337;Voerbjerg Kærvej;2;9400;0;0
338;Skelhuse;12;9280;0;0
339;Stadionvej;20;9370;0;0
340;Nørengen;37;9362;0;0
341;Koralvej;6;9370;0;0
342;Havørnen;15;9280;0;0
343;Hølundvej;36B;9362;0;0
344;Jyllensgade;37;9370;0;0
345;Pilekrogen;13;9280;0;0
346;Staprisvej;10;9381;0;0
347;Aalborgvej;15;9280;0;0
348;Gudumvej;116;9260;0;0
349;Skovsgårdsvej;66;9370;0;0
350;Knudshoved;46;9370;0;0
351;Østervang;50;9362;0;0
352;Tylstrup Hedevej;11;9382;0;0
353;Sigsgaardvej;28;9293;0;0
354;Nordvestvej;24;9000;0;0
355;Dyremosen;55;9370;0;0
356;Degnelodden;26;9280;0;0
357;Toftkærvej;2;9280;0;0
358;Kongelunden Vest;13;9370;0;0
359;Øster Sundby Vej;16B;9000;0;0
360;Julius Posselts Vej;10;9400;0;0
361;Skagensgrund;8;9280;0;0
362;Hasselvej;12;9280;0;0
363;Skovgårdsvej;21;9240;0;0
364;Planetvej;4;9370;0;0
365;Koraldybet;10;9280;0;0
366;Doggerbanken;11;9280;0;0
367;Aalborgvej;156;9370;0;0
368;Vandet Vest;27;9370;0;0
369;Koralvej;12;9370;0;0
370;Skrænten;20;9280;0;0
371;Tinbergens Alle;11;9260;0;0
372;Brenning;8;9400;0;0
373;Skansegårdsvej;17;9280;0;0
374;Pollendalen;69;9260;0;0
375;Kongensgade;32;9293;0;0
376;Klitgårdsvej;40;9382;0;0
377;Mågevej;50;9280;0;0
378;Mågevej;15;9280;0;0
379;Enebærvej;1;9310;0;0
380;Lindholmsvej;180;9400;0;0
381;Nordvestvej;23;9370;0;0
382;Solparken;3;9370;0;0
383;Krøjbergsvej;36;9370;0;0
384;Pilekrogen;16;9280;0;0
385;Pilekrogen;14;9280;0;0
386;Peder Skrams Gade;7;9000;0;0
387;Birkealle;19;9280;0;0
388;Korsholm;18;9370;0;0
389;Tvedens Alle;79;9381;0;0
390;Millevej;10;9430;0;0
391;Klostermarken;35A;9000;0;0
392;Måholtvej;6;9370;0;0
393;Skansegårdsvej;20;9280;0;0
394;Kystvejen;32;9370;0;0
395;Skelhuse;20;9280;0;0
396;Mannadalen;55;9260;0;0
397;Kystvejen;38;9370;0;0
398;Lindevej;11;9370;0;0
399;Las Poulsens Vej;37;9000;0;0
400;Wesselsvej;23;9220;0;0
401;Bellinisvej;18;9200;0;0
402;Søhesten;91;9370;0;0
403;Asgården;24;9230;0;0
404;Kattegatvej;2;9370;0;0
405;Idrætsalle;22;9370;0;0
406;Granlunden;26;9310;0;0
407;Skomagerstien;3;9280;0;0
408;Fjellerad Bygade;53;9260;0;0
409;Nørregade;33;9370;0;0
410;Sønder Havsig;63;9370;0;0
411;Elkærvej;71;9381;0;0
412;Anders Borks Vej;4;9000;0;0
413;Rubinvej;3;9260;0;0
414;Engvej;18;9370;0;0
415;Las Poulsens Vej;40;9000;0;0
416;Lindholmsvej;75;9400;0;0
417;Vestre Havnepromenade;11A;9000;0;0
418;Tylstrupparken;9;9382;0;0
419;Halsvej;201;9310;0;0
420;Vestervej;5;9240;0;0
421;Regnar Juels Vej;18;9210;0;0
422;Kongevejen;10;9370;0;0
423;Kystvej;30;9280;0;0
424;Vaarst Kærvej;50;9260;0;0
425;Nordmarksvej;16;9370;0;0
426;Fyensgade;26;9000;0;0
427;Estlandsgade;1;9000;0;0
428;Kronosvej;23;9210;0;0
429;Prins Paris Alle;14;9210;0;0
430;Kirkebakken;11;9270;0;0
431;Solhøj;36;9240;0;0
432;Mølleskoven;40;9260;0;0
433;Vestre Havnepromenade;11A;9000;0;0
434;Sofievej;32K;9000;0;0
435;Sønder Tranders Bygade;17F;9260;0;0
436;Karetmagergyden;11;9000;0;0
437;Hvorupvej;8;9400;0;0
438;Morbærhaven;40;9000;0;0
439;Ladegårdsvej;9;9210;0;0
440;Vestre Alle;1;9000;0;0
441;Østerstrand;36;9370;0;0
