4009;Alm. Salg;1825000;14147;24-05-2005
4010;Alm. Salg;1900000;17924;30-04-2012
4011;Alm. Salg;100000;1176;25-07-2006
4012;Alm. Salg;1525000;15561;24-06-2011
4013;Alm. Salg;738891;8031;19-11-1998
4014;Alm. Salg;1285000;10798;18-12-2008
4015;Alm. Salg;1290000;7206;04-06-2001
4016;Alm. Salg;660000;8148;28-12-2001
4017;Alm. Salg;1900000;12500;13-03-2012
4018;Alm. Salg;1625000;14508;20-06-2006
4019;Alm. Salg;1062000;0;26-04-1999
4020;Alm. Salg;1500000;8670;25-01-2012
4021;Alm. Salg;1315000;12892;07-05-2008
4022;Alm. Salg;998000;9784;31-07-2011
4023;Alm. Salg;625000;8928;11-09-2007
4024;Alm. Salg;1870000;12064;14-08-2012
4025;Alm. Salg;888000;11100;05-09-2002
4026;Alm. Salg;760000;7307;24-08-1992
4027;Fam. Salg;715500;6445;26-06-2014
4028;Alm. Salg;674855;7756;18-03-2002
4029;Alm. Salg;1090000;12823;16-03-1999
4030;Alm. Salg;850000;8018;02-12-2010
4031;Alm. Salg;1730000;12269;10-10-2014
4032;Alm. Salg;979000;6659;17-03-2005
4033;Alm. Salg;700000;8641;26-10-2009
4034;Alm. Salg;2450000;20940;28-06-2006
4035;Alm. Salg;1200000;7017;11-04-2002
4036;Alm. Salg;850000;6589;13-01-1999
4037;Alm. Salg;495000;9339;03-11-2005
4038;Alm. Salg;2425000;20550;03-01-2013
4039;Alm. Salg;191836;1332;03-01-1997
4040;Fam. Salg;576000;3388;28-09-1997
4041;Alm. Salg;720000;11076;03-09-2013
4042;Alm. Salg;850000;8854;04-06-2003
4043;Alm. Salg;475000;7307;06-06-2005
4044;Alm. Salg;1185000;5129;28-06-2005
4045;Alm. Salg;244800;2690;08-10-1999
4046;Alm. Salg;1120000;0;23-02-2006
4047;Alm. Salg;615000;0;21-09-1993
4048;Alm. Salg;1154000;14425;06-02-2012
4049;Alm. Salg;1725000;15131;08-07-2010
4050;Alm. Salg;637500;10625;22-05-2009
4051;Alm. Salg;326500;3265;14-05-1997
4052;Alm. Salg;110000;774;22-09-1997
4053;Alm. Salg;1050000;0;05-10-2011
4054;Alm. Salg;285000;3097;04-06-2004
4055;Fam. Salg;580000;3647;01-09-2000
4056;Alm. Salg;360000;5142;30-06-2008
4057;Alm. Salg;595000;5219;05-09-2014
4058;Alm. Salg;390000;5342;21-12-2009
4059;Fam. Salg;459000;4371;19-03-2015
4060;Alm. Salg;1395000;17658;20-05-2015
4061;Alm. Salg;1650000;11379;25-07-2001
4062;Alm. Salg;1082000;6402;28-09-2003
4063;Alm. Salg;1330000;15833;22-02-2015
4064;Alm. Salg;985000;7576;03-04-2002
4065;Alm. Salg;140000;1206;07-07-2000
4066;Alm. Salg;625000;8445;29-11-2004
4067;Alm. Salg;1300000;5098;07-04-2003
4068;Alm. Salg;819000;4356;29-10-2002
4069;Fam. Salg;195500;4072;08-05-2002
4070;Alm. Salg;657000;0;04-06-2003
4071;Alm. Salg;600000;6593;19-12-2006
4072;Alm. Salg;250000;2450;25-08-1994
4073;Alm. Salg;1250000;14880;12-03-2015
4074;Alm. Salg;1295000;14388;24-04-2007
4075;Alm. Salg;1480000;11653;26-04-2005
4076;Alm. Salg;1995000;14049;17-01-2003
4077;Alm. Salg;1370000;10223;25-03-2004
4078;Alm. Salg;1545000;8089;14-10-2004
4079;Alm. Salg;800000;8163;02-07-2006
4080;Alm. Salg;1475000;9516;12-08-2005
4081;Alm. Salg;1798000;12315;07-05-2009
4082;Alm. Salg;880000;7857;05-10-2007
4083;Alm. Salg;2500000;18115;06-11-2012
4084;Alm. Salg;540000;6750;23-08-1999
4085;Alm. Salg;1135000;17734;29-12-2011
4086;Alm. Salg;2195000;13549;23-10-2009
4087;Alm. Salg;885000;10056;04-01-2001
4088;Alm. Salg;933123;14138;27-07-2015
4089;Alm. Salg;1045000;9086;24-06-2011
4090;Alm. Salg;825000;12132;14-04-2003
4091;Alm. Salg;511310;0;05-07-1999
4092;Alm. Salg;460000;0;16-07-1996
4093;Alm. Salg;640000;4571;07-10-1995
4094;Alm. Salg;1111000;14063;06-07-2007
4095;Alm. Salg;1450000;14795;22-04-2009
4096;Alm. Salg;550000;4782;10-06-2015
4097;Alm. Salg;1100000;8800;03-05-2008
4098;Alm. Salg;1350000;0;11-08-1998
4099;Alm. Salg;330000;8684;01-10-2007
4100;Alm. Salg;500000;7042;23-05-1997
4101;Alm. Salg;2520000;20000;27-02-2015
4102;Alm. Salg;1100000;0;20-12-2004
4103;;758197;7220;09-08-2005
4104;Alm. Salg;475000;7661;16-06-2011
4105;Alm. Salg;195000;1839;21-08-1997
4106;Alm. Salg;856000;4891;25-06-1996
4107;Alm. Salg;760000;5033;29-05-1996
4108;Alm. Salg;3800000;20430;31-03-2014
4109;Alm. Salg;1380000;8165;08-04-2002
4110;Alm. Salg;1550000;11313;24-11-2009
4111;Fam. Salg;823784;7226;31-01-2008
4112;Alm. Salg;1950000;14772;15-07-2010
4113;Fam. Salg;222186;3830;30-11-1995
4114;Alm. Salg;2200000;8365;12-01-2007
4115;Alm. Salg;1004825;14152;17-01-2014
4116;Alm. Salg;489000;0;15-01-1997
4117;Fam. Salg;1487500;6611;12-04-2005
4118;Alm. Salg;2295000;23418;10-06-2015
4119;Alm. Salg;1702000;12070;28-05-2006
4120;Alm. Salg;533591;6063;13-12-1997
4121;Fam. Salg;1300000;10833;12-11-2001
4122;Alm. Salg;1730000;18404;22-05-2015
4123;Alm. Salg;1350000;10800;05-02-2009
4124;Alm. Salg;250000;7142;30-01-2007
4125;;532087;3129;12-12-2007
4126;Alm. Salg;650000;4642;15-09-1993
4127;Alm. Salg;1035000;0;25-03-2004
4128;Alm. Salg;1890000;12945;27-02-2009
4129;Alm. Salg;1360000;10461;13-12-2007
4130;Alm. Salg;2175000;21750;12-12-2011
4131;Alm. Salg;614594;0;30-03-1995
4132;Alm. Salg;2051000;13493;31-03-2011
4133;Alm. Salg;1600000;12800;07-08-2009
