1;Alm. Salg;1400000;10218;28-02-2013;
2;Alm. Salg;410000;7454;14-10-2011;
3;Alm. Salg;995000;9851;15-11-2002;
4;Alm. Salg;2700000;9030;03-08-2012;
5;Alm. Salg;5300000;25603;13-11-2013;
6;Alm. Salg;1233000;7611;11-07-2002;
7;Alm. Salg;475000;6884;21-04-2006;
8;Alm. Salg;730000;4244;14-12-1993;
9;Fam. Salg;420000;5121;28-09-2005;
10;Alm. Salg;666539;4829;17-04-1997;
11;Alm. Salg;1110000;0;09-01-2002;
12;Alm. Salg;1450000;10984;13-07-2005;
13;;388304;3318;10-08-2006;
14;Alm. Salg;800000;7547;10-12-2013;
15;Alm. Salg;4300000;24855;09-06-2015;
16;Alm. Salg;900000;14754;10-11-2009;
17;Alm. Salg;640000;8000;17-10-2005;
18;Alm. Salg;295000;9218;04-10-2005;
19;Alm. Salg;1100000;7534;08-02-2007;
20;Alm. Salg;835000;9277;04-04-2008;
21;Alm. Salg;570000;8260;27-04-2015;
22;Alm. Salg;465000;5670;15-09-1997;
23;Alm. Salg;595000;13222;09-07-2013;
24;Alm. Salg;1525000;10892;23-05-2012;
25;Alm. Salg;2350000;21759;01-07-2013;
26;Alm. Salg;850000;0;04-06-1992;
27;Alm. Salg;849000;10353;26-05-2015;
28;Alm. Salg;1250000;11682;09-07-2008;
29;Alm. Salg;383000;4670;06-07-1993;
30;Alm. Salg;890000;15084;27-02-2007;
31;Fam. Salg;1590000;14454;12-08-2015;
32;Alm. Salg;140000;1842;28-06-2001;
33;Alm. Salg;550000;4661;07-06-1995;
34;Alm. Salg;1295000;10117;12-08-2005;
35;Alm. Salg;260000;2988;15-07-2009;
36;Alm. Salg;520000;7536;12-05-2010;
37;Alm. Salg;385000;4277;09-02-1994;
38;Alm. Salg;840000;13548;20-07-2011;
39;Alm. Salg;1650000;9939;03-10-2007;
40;Alm. Salg;1350000;10227;19-03-2008;
41;Alm. Salg;555000;9098;23-01-2001;
42;Alm. Salg;750000;12711;02-03-2012;
43;Alm. Salg;1634243;6459;25-11-2010;
44;Alm. Salg;725000;9062;08-06-2013;
45;Alm. Salg;930000;12567;17-01-2008;
46;Alm. Salg;280000;0;07-10-1993;
47;Alm. Salg;900000;7500;15-02-2005;
48;Alm. Salg;610000;7530;30-01-2005;
49;Fam. Salg;306000;4567;26-12-2002;
50;Alm. Salg;20000;111;08-02-2005;
51;Alm. Salg;1240000;5511;21-11-1995;
52;Alm. Salg;520000;3209;07-05-1992;
53;Fam. Salg;1317500;8902;20-12-2004;
54;Alm. Salg;1495000;11240;04-07-2005;
55;Alm. Salg;729885;3229;30-10-1992;
56;Alm. Salg;1315000;10604;06-05-2010;
57;Fam. Salg;1634900;12673;25-11-2014;
58;Alm. Salg;710000;3697;18-08-1994;
59;Alm. Salg;1595000;10924;20-03-2012;
60;Alm. Salg;1200000;11009;04-05-2006;
61;Alm. Salg;1455000;12226;14-07-2005;
62;Alm. Salg;1175000;8103;19-04-2006;
63;Fam. Salg;730000;6033;25-02-2015;
64;Alm. Salg;1298000;16024;24-08-2012;
65;Alm. Salg;599000;3586;16-10-1992;
66;Alm. Salg;1220000;8531;22-06-2003;
67;Alm. Salg;1600000;16494;12-01-2007;
68;Alm. Salg;760000;0;30-06-1996;
69;Alm. Salg;1950000;4088;11-05-2004;
70;Alm. Salg;1050000;6562;26-08-2015;
71;Alm. Salg;3600000;16363;26-05-2010;
72;Alm. Salg;240000;3870;06-06-1993;
73;Alm. Salg;1100000;10784;04-06-2013;
74;Alm. Salg;1980000;14558;09-05-2012;
75;Alm. Salg;530000;8688;27-05-2013;
76;Alm. Salg;625000;0;11-03-1992;
77;Alm. Salg;363322;6055;04-06-1993;
78;Alm. Salg;1600000;11267;22-11-2006;
79;Alm. Salg;838000;14701;31-01-2005;
80;Fam. Salg;630000;4405;11-06-1992;
81;Alm. Salg;245000;1814;10-06-1997;
82;Alm. Salg;835000;10182;01-05-1998;
83;Alm. Salg;345000;0;06-04-2006;
84;Fam. Salg;690000;5307;28-03-2000;
85;Alm. Salg;790000;8777;29-05-2009;
86;Alm. Salg;1675000;14565;08-04-2015;
87;Alm. Salg;290000;4677;23-02-1995;
88;Alm. Salg;825000;9593;15-07-2005;
89;Alm. Salg;890000;15084;03-11-2009;
90;Alm. Salg;858000;6308;07-08-1996;
91;Alm. Salg;650000;0;23-05-1995;
92;Alm. Salg;835000;6788;08-07-2005;
93;Alm. Salg;717726;8249;12-08-1999;
94;Alm. Salg;591134;7208;16-10-2000;
95;Alm. Salg;400000;0;12-06-1994;
96;Alm. Salg;777500;11433;02-03-2015;
97;Alm. Salg;598000;7292;26-06-2003;
98;Alm. Salg;487500;8552;06-07-2015;
99;Fam. Salg;400000;4347;15-02-2010;
100;Alm. Salg;865000;7208;27-02-2004;
101;Alm. Salg;531309;5260;26-09-1994;
102;Alm. Salg;217056;1400;23-10-2003;
103;Alm. Salg;1195000;10482;08-02-2015;
104;Alm. Salg;750000;11194;23-07-2009;
105;Fam. Salg;790000;4293;30-08-2007;
106;Alm. Salg;1450000;9731;10-07-1998;
107;Alm. Salg;955000;8526;04-07-2014;
108;Alm. Salg;400000;0;11-11-2001;
109;Alm. Salg;575000;3859;12-01-2001;
110;Alm. Salg;646000;0;16-08-1995;
111;Alm. Salg;1084000;7742;12-07-1996;
112;Alm. Salg;600000;6250;05-05-2000;
113;Alm. Salg;2450000;28488;03-04-2012;
114;Alm. Salg;1125000;8653;27-04-2005;
115;Alm. Salg;1295000;14550;23-05-2013;
116;Alm. Salg;1785000;16227;23-06-2014;
117;Alm. Salg;260000;1666;22-01-1999;
118;Alm. Salg;625000;7812;04-01-2010;
119;Alm. Salg;1205000;0;01-08-1997;
120;Alm. Salg;950000;11046;23-07-2012;
121;Fam. Salg;375000;5357;15-03-2006;
122;Alm. Salg;925000;7773;17-01-2004;
123;Alm. Salg;1695000;15694;12-09-2014;
124;Alm. Salg;1285000;14120;11-10-2005;
125;Fam. Salg;250000;3333;07-05-2014;
126;Alm. Salg;2250000;11421;20-02-2013;
127;Alm. Salg;900000;12857;15-09-2009;
128;Alm. Salg;1000000;10638;08-01-2001;
129;Alm. Salg;2060000;19619;10-05-2007;
130;Alm. Salg;195000;0;21-10-1997;
131;;600000;5084;27-04-2005;
132;Alm. Salg;2630000;14858;09-07-2007;
133;Alm. Salg;1150000;12365;20-07-2012;
134;Alm. Salg;2400000;11111;10-10-2007;
135;Alm. Salg;900000;11842;13-10-2012;
136;Alm. Salg;1000000;12500;28-02-2015;
137;Alm. Salg;2800000;13023;01-11-2012;
138;;426424;3255;30-12-2002;
139;Fam. Salg;1170000;7090;09-11-2000;
140;Alm. Salg;2750000;20992;27-01-2006;
141;Alm. Salg;4000000;19323;20-12-2010;
142;Alm. Salg;1395000;13285;09-01-2012;
143;;617348;4861;10-11-2014;
144;Alm. Salg;888250;13458;31-10-2008;
145;Alm. Salg;1515000;0;11-01-2003;
146;Alm. Salg;3625000;17682;18-11-2010;
147;Alm. Salg;721200;6164;25-06-1993;
148;Alm. Salg;514340;6272;05-08-1997;
149;Alm. Salg;1025000;7706;21-01-2011;
150;Fam. Salg;264500;2204;21-12-2009;
151;Alm. Salg;720000;5255;17-06-1996;
152;Alm. Salg;495000;2734;27-03-2002;
153;;425354;3060;27-02-2002;
154;Alm. Salg;360000;2571;06-08-2004;
155;Alm. Salg;735000;8166;31-05-2014;
156;Alm. Salg;162225;1219;14-10-1996;
157;Alm. Salg;885000;9414;10-07-2009;
158;Alm. Salg;2900000;21323;01-06-2014;
159;Alm. Salg;295000;5900;11-09-1995;
160;Fam. Salg;150000;3260;20-06-2001;
161;Alm. Salg;1475000;9049;16-05-2012;
162;Alm. Salg;324000;2090;17-04-1997;
163;Alm. Salg;675000;9782;01-10-2004;
164;Alm. Salg;1485000;10607;22-10-2010;
165;Alm. Salg;1025585;8841;17-03-1998;
166;Alm. Salg;2450000;11238;20-11-2007;
167;Alm. Salg;800000;4968;18-06-2010;
168;Alm. Salg;700000;6250;18-02-2005;
169;Alm. Salg;1440000;15157;17-02-2013;
170;Alm. Salg;660000;8148;21-11-2005;
171;Fam. Salg;808350;13472;03-01-1993;
172;Alm. Salg;304500;1770;30-10-2003;
173;Alm. Salg;604000;8388;23-05-2006;
174;Alm. Salg;1396526;12358;22-01-2001;
175;Alm. Salg;1919000;6829;24-03-1995;
176;Alm. Salg;940000;10930;20-07-2011;
177;Alm. Salg;2300000;18110;16-10-2000;
178;Alm. Salg;875000;9615;11-06-2010;
179;Alm. Salg;1085000;6697;21-02-1997;
180;Alm. Salg;1040000;7323;17-09-1998;
181;Alm. Salg;574797;0;13-02-2000;
182;Alm. Salg;511310;2470;17-04-1996;
183;Fam. Salg;810000;12272;11-11-2009;
184;Alm. Salg;720000;5217;17-02-1995;
185;Alm. Salg;1195000;9484;26-05-2004;
186;Alm. Salg;1700000;17171;19-07-2012;
187;Alm. Salg;700000;8045;28-06-2002;
188;Alm. Salg;2200000;16793;01-05-2008;
189;Alm. Salg;2200000;20370;11-08-2013;
190;Alm. Salg;1285000;10362;07-02-2001;
191;Alm. Salg;891123;9093;22-11-1999;
192;Alm. Salg;1400000;12727;13-12-2009;
193;Alm. Salg;995000;9128;17-02-2002;
194;Alm. Salg;712000;7416;14-02-1997;
195;Alm. Salg;465000;0;07-10-2003;
196;Alm. Salg;987000;3796;14-09-1992;
197;Alm. Salg;1850000;17452;06-03-2012;
198;Alm. Salg;1295000;12451;04-06-2006;
199;Alm. Salg;1300000;13265;10-12-2007;
200;Alm. Salg;375000;2130;29-09-2014;
201;Alm. Salg;2778000;14544;09-11-1996;
202;Alm. Salg;710000;8255;26-09-2014;
203;Alm. Salg;389847;5733;15-04-2002;
204;Alm. Salg;950000;16666;06-07-2015;
205;Fam. Salg;630000;9000;03-03-2008;
206;Alm. Salg;1800000;17307;23-05-2012;
207;Alm. Salg;780000;4000;30-01-2000;
208;Alm. Salg;2825000;12124;29-06-2015;
209;Alm. Salg;1675000;10737;08-10-2009;
210;Alm. Salg;810000;9101;15-08-2002;
211;Alm. Salg;1285000;10362;22-01-2001;
212;Alm. Salg;1020000;12750;14-12-2010;
213;Alm. Salg;1780000;16181;17-01-2014;
214;Alm. Salg;366000;1957;25-03-1999;
215;Alm. Salg;1795000;20168;21-03-2015;
216;;1777449;9022;01-07-2014;
217;Alm. Salg;1650000;34375;21-08-2007;
218;Alm. Salg;718000;4632;20-03-1995;
219;Alm. Salg;1250000;7485;12-06-2001;
220;Alm. Salg;145000;0;17-07-1995;
221;Alm. Salg;1280000;16842;20-06-2014;
222;Alm. Salg;431390;0;16-01-2003;
223;Alm. Salg;632400;10718;04-06-1999;
224;Alm. Salg;1170000;11938;07-03-2007;
225;Alm. Salg;2400000;22641;30-05-2010;
226;Alm. Salg;810000;6480;20-10-2003;
227;Alm. Salg;1530000;15148;26-03-2015;
228;Alm. Salg;1220000;10517;23-02-2011;
229;Alm. Salg;715000;8313;16-12-2011;
230;Alm. Salg;785000;13305;26-10-2009;
231;Alm. Salg;1185000;13314;07-07-2008;
232;Alm. Salg;820000;6165;23-08-1995;
233;Alm. Salg;1575000;13125;02-02-2010;
234;Alm. Salg;900000;9375;10-03-2005;
235;Alm. Salg;949953;10214;13-09-1999;
236;Alm. Salg;1815000;0;15-07-2005;
237;Alm. Salg;1060000;6543;17-11-2004;
238;Alm. Salg;1045000;11483;28-11-2006;
239;Alm. Salg;1135000;6522;25-08-2006;
240;;282646;2617;29-06-1998;
241;Alm. Salg;975000;11746;18-05-2004;
242;Alm. Salg;1220000;9918;01-10-2000;
243;Alm. Salg;985640;6750;28-02-2000;
244;Alm. Salg;1550000;12204;28-04-2015;
245;Alm. Salg;625000;7812;09-10-2000;
246;Alm. Salg;790000;3623;04-08-1997;
247;Alm. Salg;885000;11800;30-03-2011;
248;Alm. Salg;1020000;10736;01-10-2014;
249;Fam. Salg;412304;3076;06-04-2001;
250;Alm. Salg;2000000;12658;04-02-2013;
251;Alm. Salg;1475000;26818;27-04-2014;
252;Alm. Salg;600000;7500;06-09-2009;
253;Alm. Salg;1500000;7853;24-06-2004;
254;Alm. Salg;1100000;12500;13-12-2013;
255;Alm. Salg;490000;0;01-08-1994;
256;Alm. Salg;2000000;11111;12-02-2001;
257;Alm. Salg;999000;0;26-08-2004;
258;Alm. Salg;470000;3012;01-12-1995;
259;Alm. Salg;855000;7370;24-05-2004;
260;;887252;4069;19-02-2004;
261;Alm. Salg;1100000;5851;30-06-2004;
262;Alm. Salg;181000;2180;01-09-1997;
263;Alm. Salg;1020000;8500;18-08-2015;
264;Alm. Salg;650000;2203;06-02-1995;
265;Fam. Salg;1450000;13181;20-05-2015;
266;Alm. Salg;715000;6620;19-10-1994;
267;Alm. Salg;1100000;9482;02-10-2008;
268;Alm. Salg;3000000;13888;10-11-2013;
269;Alm. Salg;2850000;11974;22-06-2010;
270;Alm. Salg;1225000;8059;27-03-2002;
271;Alm. Salg;1665000;13647;15-06-2011;
272;Alm. Salg;838000;7286;10-10-1996;
273;Alm. Salg;2280000;16285;18-01-2006;
274;Alm. Salg;1900000;10919;22-09-2011;
275;Alm. Salg;1795000;12821;07-05-2007;
276;Alm. Salg;575000;10454;15-06-2009;
277;Alm. Salg;896000;0;01-10-1996;
278;Alm. Salg;1055000;16484;08-06-2015;
279;Alm. Salg;1600000;12121;20-05-2009;
280;Alm. Salg;1725000;12234;08-05-2008;
281;Alm. Salg;1300000;11818;04-01-2008;
282;Alm. Salg;1100000;9243;12-11-2012;
283;Alm. Salg;347080;4690;22-05-1996;
284;Alm. Salg;2800000;16867;17-11-2014;
285;Alm. Salg;2670000;16181;31-01-2013;
286;Alm. Salg;715000;0;11-06-2003;
287;Alm. Salg;4695000;21939;12-07-2013;
