0 Villa Ellehammersvej 82 9430 1923 5 1080000 6750 23-10-2001 Alm. Salg 9,862424 9,862424
1 Villa Halkærvej 57 9240 1908 4 772100 0 25-09-1996 Alm. Salg 9,581 9,581
2 Rækkehus Haslundparken 87 9310 1987 4 1345000 12453 07-02-2011 Alm. Salg 10,13155 10,13155
3 Sommerhus Blåbærvej 1 9370 1971 5 323000 3198 21-04-2003 Fam. Salg 10,368062 10,368062
4 Villa Tornhøjparken 238 9220 1988 4 1070000 9553 30-09-1999 Alm. Salg 10,000617 10,000617
5 Villa Valmuemarken 12 9000 1951 5 1550000 0 06-08-2001 Alm. Salg 9,905267 9,905267
6 Villa Skovgårdsvej 22 9000 1958 2 1425000 12391 31-10-2007 Alm. Salg 9,9663045 9,9663045
7 Villa Halkærvej 56 9240 1913 12 1050000 2436 21-01-1992 Alm. Salg 9,580993 9,580993
8 Rækkehus Brønlundsvej 15 9210 1972 5 2325000 14622 12-10-2010 Alm. Salg 9,931323 9,931323
9 Villa Birkevej 14 9000 1958 5 1050000 6325 13-03-2014 Alm. Salg 9,96118 9,96118
10 Villa Vejrholm 46 9220 1932 5 731000 7945 04-04-2005 Fam. Salg 10,011343 10,011343
11 Lejlighed Vendsysselgade 28 9000 1947 3 1295000 13080 17-03-2015 Alm. Salg 9,9398121 9,9398121
12 Villa Nygårdsvej 39 9260 1968 6 1350000 7584 11-03-2006 Alm. Salg 9,9893276 9,9893276
13 Villa Elisabethsvej 10 9000 1928 5 4700000 24867 03-06-2005 Alm. Salg 9,893451 9,893451
14 Villa Folehavevej 11 9000 1954 8 3500000 15981 11-12-2013 Alm. Salg 9,885681 9,885681
15 Villa Lindevej 2 9370 1964 4 1075000 8884 24-09-2010 Alm. Salg 10,3098392 10,3098392
16 Villa Bejsebakkevej 6 9000 1932 6 1313000 8638 10-06-2002 Alm. Salg 9,901264 9,901264
17 Villa Præstegårdsvej 2 9240 1946 3 600000 5882 04-03-2015  9,462925 9,462925
18 Villa Barken 14 9260 1980 4 1848000 16353 21-05-2006 Alm. Salg 9,982618 9,982618
19 Sommerhus Sommervej 40 9370 1972 3 305000 5545 05-05-2003 Alm. Salg 10,347909 10,347909
20 Lejlighed Sønderbro 17 9000 1943 2 731518 12833 11-11-2005 Alm. Salg 9,9316138 9,9316138
21 Rækkehus Haslundparken 89 9310 1987 4 855000 7916 27-04-2004 Alm. Salg 10,131404 10,131404
22 Sommerhus Rasmus Jensens Vej 15 9370 1972 4 712500 10477 25-08-2008 Alm. Salg 10,3508496 10,3508496
23 Sommerhus Kongevejen 79 9370 1971 3 375000 4032 29-12-2014 Alm. Salg 10,346644 10,346644
24 Villa Athenevej 12 9210 1984 5 1350000 9926 25-02-2000 Alm. Salg 9,951275 9,951275
25 Villa Voldborggade 7A 9240 1900 5 765000 6652 11-06-1998 Alm. Salg 9,636009 9,636009
26 Villa Gartnervangen 44 9240 1984 6 1100000 6179 07-02-1994 Alm. Salg 9,6411489 9,6411489
27 Rækkehus Solbakken 18 9240 1980 8 960000 0 08-05-2005 Alm. Salg 9,633421 9,633421
28 Sommerhus Koldkærlund 15 9370 1968 4 102000 0 06-08-1997 Fam. Salg 10,338535 10,338535
29 Villa Nørholm Villavej 8 9240 1920 5 2485000 16790 23-11-2014 Alm. Salg 9,741277 9,741277
30 Villa Børglumvej 12 9220 1969 5 1195000 7660 18-03-2003 Alm. Salg 10,011233 10,011233
31 Lejlighed Falstersgade 27 9000 1920 3 887500 11993 26-07-2010 Alm. Salg 9,945705 9,945705
32 Villa Fjordskrænten 5 9310 1965 6 445000 2908 05-10-2007 Alm. Salg 10,023874 10,023874
33 Sommerhus Søndergade 56 9370 1986 5 540000 6279 10-01-1996 Alm. Salg 10,368617 10,368617
34 Sommerhus Lyngtoften 39 9370 1975 4 425000 6854 29-12-2012 Fam. Salg 10,355456 10,355456
35 Villa Parallelvej 23 9362 1900 7 1460000 8902 31-03-2008 Alm. Salg 10,18104 10,18104
36 Villa Nordtoft 6 9370 1975 5 914944 6353 22-05-1998 Alm. Salg 10,3166971 10,3166971
37 Villa Kløvervej 22 9400 1959 5 1195000 9335 19-02-2002 Alm. Salg 9,9340047 9,9340047
38 Villa Nørre Tranders Vej 40 9000 1976 6 2205000 14318 10-08-2013 Alm. Salg 9,963082 9,963082
39 Lejlighed Strubjerg 73 9400 1971 2 635000 9621 05-01-2007 Alm. Salg 9,922655 9,922655
40 Sommerhus Hou Vest 57 9370 1970 3 344765 5304 02-02-2005 Alm. Salg 10,3543299 10,3543299
41 Lejlighed Sønderbro 17 9000 1943 2 835000 14910 03-04-2012 Alm. Salg 9,9316138 9,9316138
42 Villa Præstegårdsvej 3 9240 1956 4 515839 4820 01-03-2000 Alm. Salg 9,4636522 9,4636522
43 Villa Teglværksvej 1 9400 1880 5 836100 4918 13-11-2012  9,925814 9,925814
44 Sommerhus Gyvelvej 4 9370 1968 3 1150000 18253 04-07-2011 Alm. Salg 10,33986 10,33986
45 Villa Bygaden 24D 9000 1998 5 300000 1694 02-05-1997 Alm. Salg 9,869583 9,869583
46 Villa Skovsgårdsvej 27 9370 1998 5 197400 1134 16-03-1995 Fam. Salg 10,30943 10,30943
47 Villa Constancevej 10 9000 1918 8 5280000 20869 28-10-2014 Fam. Salg 9,896932 9,896932
48 Villa Carsten Hauchs Vej 9 9000 1966 5 1795000 11966 28-10-2008 Alm. Salg 9,968607 9,968607
49 Villa Hovholmvej 7 9240 1926 6 1240000 7701 29-04-2008 Alm. Salg 9,670863 9,670863
50 Lejlighed Sofievej 244 9000 1963 2 725000 8146 09-09-2003 Alm. Salg 9,964597 9,964597
51 Villa Brogade 35 9370 1972 3 50000 625 23-11-1997 Alm. Salg 10,3689 10,3689
52 Rækkehus Klokkestabelen 77 9000 1989 3 867000 9527 29-10-1998 Alm. Salg 9,872537 9,872537
53 Lejlighed Parkvej 2 9000 1939 2 900000 15517 07-02-2008 Alm. Salg 9,9083934 9,9083934
54 Lejlighed Vesterbro 89 9000 1934 3 1542500 16067 18-12-2013 Alm. Salg 9,916067 9,916067
55 Villa Irisvej 5 9310 1973 5 575000 4136 12-03-1992 Alm. Salg 10,1214 10,1214
56 Lejlighed Strubjerg 7 9400 1967 3 785000 9235 27-07-2011 Alm. Salg 9,917919 9,917919
57 Villa Kirkebakken 47 9270 1966 3 1545000 13205 29-03-2007 Alm. Salg 10,0527119 10,0527119
58 Villa Korsagervej 3 9400 1962 4 1015000 7807 07-08-2000 Alm. Salg 9,92911 9,92911
59 Villa Lannerparken 19 9200 1977 7 1250000 0 09-12-2005 Alm. Salg 9,8155699 9,8155699
60 Villa Birkevej 15 9000 1951 7 2995000 19703 24-07-2008 Alm. Salg 9,9620817 9,9620817
61 Sommerhus Sommervej 42 9370 1972 4 161957 0 11-06-1992 Alm. Salg 10,347448 10,347448
62 Lejlighed Peder Skrams Gade 5 9000 1934 2 1195000 18106 03-01-2007 Alm. Salg 9,90303 9,90303
63 Villa Aalborgvej 338 9362 1970 9 738000 2963 28-10-1993 Alm. Salg 10,176674 10,176674
64 Villa Th. Sauers Vej 108 9000 1938 6 1621319 9007 08-10-2013  9,932959 9,932959
65 Sommerhus Fyrvej 9 9370 2009 3 1550000 25000 31-01-2008 Alm. Salg 10,346204 10,346204
66 Villa Tagskægget 83 9380 1986 5 1550000 11923 14-12-2005 Alm. Salg 9,947434 9,947434
67 Sommerhus Torndalsvej 18 9370 1972 3 640000 14545 04-08-2010 Alm. Salg 10,355154 10,355154
68 Lejlighed Knudsgade 7 9000 1979 3 1030000 14507 14-03-2008 Alm. Salg 9,91077 9,91077
69 Villa Østermarksvej 14 9400 1928 3 537000 5593 17-06-2013  9,908648 9,908648
70 Villa Søvænget 2 9370 1971 4 575000 4227 24-03-1995 Alm. Salg 10,3004573 10,3004573
71 Rækkehus Klokkestabelen 79 9000 1989 3 1480000 16086 30-05-2005 Alm. Salg 9,873079 9,873079
72 Villa Vester Vænge Alle 28 9000 1955 5 3000000 19108 06-05-2015 Alm. Salg 9,879447 9,879447
73 Villa Kolloparken 18 9200 1973 6 1375000 10742 22-11-2010 Alm. Salg 9,821088 9,821088
74 Rækkehus Gammel Hedevej 2 9310 1970 2 2100000 47727 05-04-2004  10,032381 10,032381
75 Villa Kronprinsens Alle 14 9400 1932 4 1085000 8476 28-08-2010 Alm. Salg 9,933731 9,933731
76 Villa Ådalsvej 17 9210 1956 6 1875000 12417 01-02-2008 Alm. Salg 9,923711 9,923711
77 Villa Dybdalvej 9 9280 1923 7 367727 1578 24-01-1993 Alm. Salg 10,079091 10,079091
78 Lejlighed Knudsgade 6 9000 1892 5 1022310 6511 24-11-2000 Alm. Salg 9,910979 9,910979
79 Lejlighed Fyrrebakken 34 9000 1959 5 850000 5555 30-03-2000  9,888316 9,888316
80 Villa Vissevej 25 9210 1954 4 592120 5382 19-05-1994 Alm. Salg 9,92221 9,92221
81 Rækkehus Frugthaven 7 9310 2000 4 1372552 14447 14-09-2005 Alm. Salg 10,024586 10,024586
82 Lejlighed Færøgade 53 9000 1942 3 1150000 14743 03-05-2011 Alm. Salg 9,9382529 9,9382529
83 Villa Gl. Skolevej 5 9280 1900 5 376121 2279 24-11-1994 Alm. Salg 10,052138 10,052138
84 Lejlighed Henning Smiths Vej 15E 9000 2005 3 1492000 16043 20-10-2005 Alm. Salg 9,892855 9,892855
85 Rækkehus Gudrunvej 4 9000 1965 4 1200000 10714 09-03-2015 Fam. Salg 9,959943 9,959943
86 Villa Kærvej 41 9210 1971 4 1075000 10141 03-10-2009 Alm. Salg 9,936086 9,936086
87 Rækkehus Markvej 17 9280 1985 3 533800 6672 19-12-1996 Alm. Salg 10,099636 10,099636
88 Villa Zieglersvej 1 9400 1900 5 1460000 11496 14-05-2014 Alm. Salg 9,9322098 9,9322098
89 Villa Kristinevej 15 9000 1977 5 2050000 12812 27-04-2006 Alm. Salg 9,964177 9,964177
90 Villa Hassinghøj 28 9280 2003 5 323865 1669 22-06-2001 Alm. Salg 10,094546 10,094546
91 Lejlighed Årestrupsvej 30 9000 1967 3 600000 7228 04-01-2011 Alm. Salg 9,968064 9,968064
92 Villa Kornblomstvej 11 9000 1943 4 2575000 18392 12-12-2007 Alm. Salg 9,9050191 9,9050191
93 Lejlighed Vestre Alle 9 9000 1955 3 960000 10666 27-10-2011 Alm. Salg 9,9075575 9,9075575
94 Sommerhus Skelhuse 23 9280 1999 5 150000 1209 28-09-1993 Alm. Salg 10,197604 10,197604
