bygge_aar,bolig_areal,kvm_pris,adresse,pris,grund_areal,rum,post_nr,pageUrl
0,88 m²,11.079,Kildevældet 8A,975.000,198 m²,4,8850,http://www.boliga.dk/soeg/resultater?type=Villa%252cEjerlejlighed%252cVillalejlighed%252cR%25c3%25a6kkehus%252cFritidshus%252cAndelsbolig%252cLandejendom%252cHel%25c3%25a5rsgrund%252cFritidsgrund%252cAndet%252c&byggetMin=&byggetMax=&q=&area=&kom=851&fraPostnr=&tilPostnr=&iPostnr=&gade=&minEnergi=&maxEnergi=&min=&max=&minNet=&maxNet=&minUdg=&maxUdg=&minKvmPris=&maxKvmPris=&minLiggetid=&maxLiggetid=&minRooms=&maxRooms=&minSize=&maxSize=&minGardenSize=&maxGardenSize=&minBasementSize=&maxBasementSize=&minEtage=&maxEtage=&page=1
0,136 m²,14.669,Klostergårdsvej 9,1.995.000,95565 m²,7,8882,http://www.boliga.dk/soeg/resultater?type=Villa%252cEjerlejlighed%252cVillalejlighed%252cR%25c3%25a6kkehus%252cFritidshus%252cAndelsbolig%252cLandejendom%252cHel%25c3%25a5rsgrund%252cFritidsgrund%252cAndet%252c&byggetMin=&byggetMax=&q=&area=&kom=851&fraPostnr=&tilPostnr=&iPostnr=&gade=&minEnergi=&maxEnergi=&min=&max=&minNet=&maxNet=&minUdg=&maxUdg=&minKvmPris=&maxKvmPris=&minLiggetid=&maxLiggetid=&minRooms=&maxRooms=&minSize=&maxSize=&minGardenSize=&maxGardenSize=&minBasementSize=&maxBasementSize=&minEtage=&maxEtage=&page=1
1927,60 m²,-,"Kærvang 3, 2. th.",550.000,0 m²,,9000,http://www.boliga.dk/soeg/resultater?type=Villa%252cEjerlejlighed%252cVillalejlighed%252cR%25c3%25a6kkehus%252cFritidshus%252cAndelsbolig%252cLandejendom%252cHel%25c3%25a5rsgrund%252cFritidsgrund%252cAndet%252c&byggetMin=&byggetMax=&q=&area=&kom=851&fraPostnr=&tilPostnr=&iPostnr=&gade=&minEnergi=&maxEnergi=&min=&max=&minNet=&maxNet=&minUdg=&maxUdg=&minKvmPris=&maxKvmPris=&minLiggetid=&maxLiggetid=&minRooms=&maxRooms=&minSize=&maxSize=&minGardenSize=&maxGardenSize=&minBasementSize=&maxBasementSize=&minEtage=&maxEtage=&page=1
1959,49 m²,26.428,"Kastetvej 15A, 5. 2.",1.295.000,0 m²,,9000,http://www.boliga.dk/soeg/resultater?type=Villa%252cEjerlejlighed%252cVillalejlighed%252cR%25c3%25a6kkehus%252cFritidshus%252cAndelsbolig%252cLandejendom%252cHel%25c3%25a5rsgrund%252cFritidsgrund%252cAndet%252c&byggetMin=&byggetMax=&q=&area=&kom=851&fraPostnr=&tilPostnr=&iPostnr=&gade=&minEnergi=&maxEnergi=&min=&max=&minNet=&maxNet=&minUdg=&maxUdg=&minKvmPris=&maxKvmPris=&minLiggetid=&maxLiggetid=&minRooms=&maxRooms=&minSize=&maxSize=&minGardenSize=&maxGardenSize=&minBasementSize=&maxBasementSize=&minEtage=&maxEtage=&page=1
1892,54 m²,-,Vendelbogade 2 3 tv,196.000,0 m²,3,9000,http://www.boliga.dk/soeg/resultater?type=Villa%252cEjerlejlighed%252cVillalejlighed%252cR%25c3%25a6kkehus%252cFritidshus%252cAndelsbolig%252cLandejendom%252cHel%25c3%25a5rsgrund%252cFritidsgrund%252cAndet%252c&byggetMin=&byggetMax=&q=&area=&kom=851&fraPostnr=&tilPostnr=&iPostnr=&gade=&minEnergi=&maxEnergi=&min=&max=&minNet=&maxNet=&minUdg=&maxUdg=&minKvmPris=&maxKvmPris=&minLiggetid=&maxLiggetid=&minRooms=&maxRooms=&minSize=&maxSize=&minGardenSize=&maxGardenSize=&minBasementSize=&maxBasementSize=&minEtage=&maxEtage=&page=1
1947,52 m²,-,Riishøjsvej 40,299.000,0 m²,2,9000,http://www.boliga.dk/soeg/resultater?type=Villa%252cEjerlejlighed%252cVillalejlighed%252cR%25c3%25a6kkehus%252cFritidshus%252cAndelsbolig%252cLandejendom%252cHel%25c3%25a5rsgrund%252cFritidsgrund%252cAndet%252c&byggetMin=&byggetMax=&q=&area=&kom=851&fraPostnr=&tilPostnr=&iPostnr=&gade=&minEnergi=&maxEnergi=&min=&max=&minNet=&maxNet=&minUdg=&maxUdg=&minKvmPris=&maxKvmPris=&minLiggetid=&maxLiggetid=&minRooms=&maxRooms=&minSize=&maxSize=&minGardenSize=&maxGardenSize=&minBasementSize=&maxBasementSize=&minEtage=&maxEtage=&page=1
1800,144 m²,2.076,Egholm 53,299.000,4000 m²,0,9000,http://www.boliga.dk/soeg/resultater?type=Villa%252cEjerlejlighed%252cVillalejlighed%252cR%25c3%25a6kkehus%252cFritidshus%252cAndelsbolig%252cLandejendom%252cHel%25c3%25a5rsgrund%252cFritidsgrund%252cAndet%252c&byggetMin=&byggetMax=&q=&area=&kom=851&fraPostnr=&tilPostnr=&iPostnr=&gade=&minEnergi=&maxEnergi=&min=&max=&minNet=&maxNet=&minUdg=&maxUdg=&minKvmPris=&maxKvmPris=&minLiggetid=&maxLiggetid=&minRooms=&maxRooms=&minSize=&maxSize=&minGardenSize=&maxGardenSize=&minBasementSize=&maxBasementSize=&minEtage=&maxEtage=&page=1
2004,83 m²,-,Sofievej 32K 3.,319.995,0 m²,3,9000,http://www.boliga.dk/soeg/resultater?type=Villa%252cEjerlejlighed%252cVillalejlighed%252cR%25c3%25a6kkehus%252cFritidshus%252cAndelsbolig%252cLandejendom%252cHel%25c3%25a5rsgrund%252cFritidsgrund%252cAndet%252c&byggetMin=&byggetMax=&q=&area=&kom=851&fraPostnr=&tilPostnr=&iPostnr=&gade=&minEnergi=&maxEnergi=&min=&max=&minNet=&maxNet=&minUdg=&maxUdg=&minKvmPris=&maxKvmPris=&minLiggetid=&maxLiggetid=&minRooms=&maxRooms=&minSize=&maxSize=&minGardenSize=&maxGardenSize=&minBasementSize=&maxBasementSize=&minEtage=&maxEtage=&page=1
1943,55 m²,-,"Samsøgade 16, st. th.",365.000,0 m²,2,9000,http://www.boliga.dk/soeg/resultater?type=Villa%252cEjerlejlighed%252cVillalejlighed%252cR%25c3%25a6kkehus%252cFritidshus%252cAndelsbolig%252cLandejendom%252cHel%25c3%25a5rsgrund%252cFritidsgrund%252cAndet%252c&byggetMin=&byggetMax=&q=&area=&kom=851&fraPostnr=&tilPostnr=&iPostnr=&gade=&minEnergi=&maxEnergi=&min=&max=&minNet=&maxNet=&minUdg=&maxUdg=&minKvmPris=&maxKvmPris=&minLiggetid=&maxLiggetid=&minRooms=&maxRooms=&minSize=&maxSize=&minGardenSize=&maxGardenSize=&minBasementSize=&maxBasementSize=&minEtage=&maxEtage=&page=1
1935,62 m²,-,"Peder Skrams Gade 7, st. tv",395.000,0 m²,2,9000,http://www.boliga.dk/soeg/resultater?type=Villa%252cEjerlejlighed%252cVillalejlighed%252cR%25c3%25a6kkehus%252cFritidshus%252cAndelsbolig%252cLandejendom%252cHel%25c3%25a5rsgrund%252cFritidsgrund%252cAndet%252c&byggetMin=&byggetMax=&q=&area=&kom=851&fraPostnr=&tilPostnr=&iPostnr=&gade=&minEnergi=&maxEnergi=&min=&max=&minNet=&maxNet=&minUdg=&maxUdg=&minKvmPris=&maxKvmPris=&minLiggetid=&maxLiggetid=&minRooms=&maxRooms=&minSize=&maxSize=&minGardenSize=&maxGardenSize=&minBasementSize=&maxBasementSize=&minEtage=&maxEtage=&page=1
1935,55 m²,-,"Schleppegrellsgade 84, 3.TV.",398.000,0 m²,2,9000,http://www.boliga.dk/soeg/resultater?type=Villa%252cEjerlejlighed%252cVillalejlighed%252cR%25c3%25a6kkehus%252cFritidshus%252cAndelsbolig%252cLandejendom%252cHel%25c3%25a5rsgrund%252cFritidsgrund%252cAndet%252c&byggetMin=&byggetMax=&q=&area=&kom=851&fraPostnr=&tilPostnr=&iPostnr=&gade=&minEnergi=&maxEnergi=&min=&max=&minNet=&maxNet=&minUdg=&maxUdg=&minKvmPris=&maxKvmPris=&minLiggetid=&maxLiggetid=&minRooms=&maxRooms=&minSize=&maxSize=&minGardenSize=&maxGardenSize=&minBasementSize=&maxBasementSize=&minEtage=&maxEtage=&page=1
1880,46 m²,-,"Peder Barkes Gade 46, 3. th",455.000,0 m²,2,9000,http://www.boliga.dk/soeg/resultater?type=Villa%252cEjerlejlighed%252cVillalejlighed%252cR%25c3%25a6kkehus%252cFritidshus%252cAndelsbolig%252cLandejendom%252cHel%25c3%25a5rsgrund%252cFritidsgrund%252cAndet%252c&byggetMin=&byggetMax=&q=&area=&kom=851&fraPostnr=&tilPostnr=&iPostnr=&gade=&minEnergi=&maxEnergi=&min=&max=&minNet=&maxNet=&minUdg=&maxUdg=&minKvmPris=&maxKvmPris=&minLiggetid=&maxLiggetid=&minRooms=&maxRooms=&minSize=&maxSize=&minGardenSize=&maxGardenSize=&minBasementSize=&maxBasementSize=&minEtage=&maxEtage=&page=1
1927,54 m²,-,"Hjulmagervej 6, st. th",495.000,0 m²,2,9000,http://www.boliga.dk/soeg/resultater?type=Villa%252cEjerlejlighed%252cVillalejlighed%252cR%25c3%25a6kkehus%252cFritidshus%252cAndelsbolig%252cLandejendom%252cHel%25c3%25a5rsgrund%252cFritidsgrund%252cAndet%252c&byggetMin=&byggetMax=&q=&area=&kom=851&fraPostnr=&tilPostnr=&iPostnr=&gade=&minEnergi=&maxEnergi=&min=&max=&minNet=&maxNet=&minUdg=&maxUdg=&minKvmPris=&maxKvmPris=&minLiggetid=&maxLiggetid=&minRooms=&maxRooms=&minSize=&maxSize=&minGardenSize=&maxGardenSize=&minBasementSize=&maxBasementSize=&minEtage=&maxEtage=&page=1
